CALL GRAPH:
controllers\admin/admin_controller.rb	AdminController.index	 controllers\admin/admin_controller.rb	 tab_aktiv_setzen	('uebersicht')
controllers\admin/admin_controller.rb	AdminController.index	 controllers\admin/admin_controller.rb	 rollen_rechte_aus_session_aufbereiten	(false)
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 controllers\admin/admin_controller.rb	 tab_aktiv_setzen	('orgeinheit')
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 Organisation::Orgeinheit	find	(orgeinheiten_fuer_die_rolle('Mitarbeiter'),:order=>'nummer')
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 VARIABLE/EXTRANEOUS METHOD	orgeinheiten_fuer_die_rolle	('Mitarbeiter')
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 models\tuwis/db.rb	 select	()
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 models\studium/matrikelnummern_generator.rb	 to_i	()
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 VARIABLE/EXTRANEOUS METHOD	first	()
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 Cache::CachePersonRolle	find_all_by_orgeinheit_id	(@orgeinheit.id,:include=>[:person,:rolle],:order=>'rolle.name, person.nachname, person.vorname')
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 Cache::CachePersonRecht	find_all_by_orgeinheit_id	(@orgeinheit.id,:include=>[:person,:recht],:order=>'recht.name, person.nachname, person.vorname')
controllers\admin/admin_controller.rb	AdminController.orgeinheit	 Hash	new	()
controllers\admin/admin_controller.rb	AdminController.rolle	 controllers\admin/admin_controller.rb	 tab_aktiv_setzen	('delegationen')
controllers\admin/admin_controller.rb	AdminController.rolle	 Auth::Rolle	find	(params[:rolle])
controllers\admin/admin_controller.rb	AdminController.rolle	 models\tuwis/db.rb	 select	()
controllers\admin/admin_controller.rb	AdminController.rolle	 Organisation::Orgeinheit	find	(r.orgeinheit_id)
controllers\admin/admin_controller.rb	AdminController.rolle	 models\personen/person.rb	 adressbuch_link_lang	()
controllers\admin/admin_controller.rb	AdminController.rolle	 Personen::Person	find	(r.delegiert_von)
controllers\admin/admin_controller.rb	AdminController.rolle	 models\personen/person.rb	 adressbuch_link_kurz	()
controllers\admin/admin_controller.rb	AdminController.rolle	 models\tools\input_params/errors.rb	 empty?	()
controllers\admin/admin_controller.rb	AdminController.rolle	 controllers/application_controller.rb	 melde	(:fehler,'Sie besitzen diese Berechtigung nicht!')
controllers\admin/admin_controller.rb	AdminController.rolle	 VARIABLE/EXTRANEOUS METHOD	redirect_to	(:action=>:index)
controllers\admin/admin_controller.rb	AdminController.rolle	 models\tuwis/db.rb	 select	()
controllers\admin/admin_controller.rb	AdminController.rolle	 Organisation::Orgeinheit	find	(r[:orgeinheit_id])
controllers\admin/admin_controller.rb	AdminController.rolle	 Organisation::Orgeinheit	find	(:all,:conditions=>['ist_aktiv=? and sti_type not in (?)',true,['Organisation::Universitaet','Organisation::Teilbereich','Organisation::ExterneFirma']])
controllers\admin/admin_controller.rb	AdminController.rolle	 VARIABLE/EXTRANEOUS METHOD	sort_by	()
controllers\admin/admin_controller.rb	AdminController.rolle	 models\tuwis/inst.rb	 nummer	()
controllers\admin/admin_controller.rb	AdminController.rolle	 models\tuwis/vw_zeugnis_prst.rb	 to_s	()
controllers\admin/admin_controller.rb	AdminController.rolle	 Personen::Person	find	(:all,:include=>:rel_person_rolle,:conditions=>['rel_person_rolle.delegiert_von=? and rolle_id=?',angemeldeter_benutzer.id,@rolle.id])
